ID,TWEET,EMOTION,INTENSITY
30109,You re so cute truelove hilarious beautiful amp graceful never heard explicits spoken with such elegance Mingo,happy,0.74
30110,Always be cheerful smile often make others happy care for others help who feel helpless and vulnerable Life feels good leadership,happy,0.74
30111,What a great training course lots of photos fun and laughter Photo s will be up soon Boostercourse fun,happy,0.74
30112,LOVE LOVE LOVE smile fun relaxationiskey,happy,0.74
30113,when the lady in Xmas dept answers your call as hello mrs Xmas yep true story winning Xmas cheer goodcustomerservice,happy,0.74
30114,Happy birthday keep smiling always Wishing you a wonderful year ahead mam,happy,0.74
30115,Good night Twitter world Wish you all good sleep productive jovial days,happy,0.731
30116,I still can t get jimmy garoppolo out of my head and it s been almost 3 weeks Thanks a lot hilarious,happy,0.7290000000000001
30117,My friend just messaged me ugh I m so hungry I can t wait for breakfast socialmedia WineWednesday hilarious funny laughing happy,happy,0.7290000000000001
30118,Thank you disney themed episode for letting me discover how amazing the are,happy,0.7290000000000001
30119,Charlie attempted to suffocate me with a cushion for cheering so much at the great news,happy,0.7290000000000001
30120,I m beaming with glee,happy,0.7290000000000001
30121,Smile at people and see what happens I think you ll be surprised smile more surprisepeople influenceinternational,happy,0.7290000000000001
30122,Something about these cool breezy fall days,happy,0.7290000000000001
30123,Food that gets delivered,happy,0.7290000000000001
30124,With or without cake seeing your wee cheery face is always a joy xx,happy,0.7290000000000001
30125,I am a simple human being who just really loves like truly madly deeply rejoicing in her existence class and queendom,happy,0.7290000000000001
30126,I just really enjoy bright colors like the colors you would see downtown Miami,happy,0.7290000000000001
30127,Thanks for making our Mass with Fr Vallely respectful meaningful and joyful SeeWithEyesOfMercy,happy,0.72
30128,Good morning joyful people Choose happiness to have a great day today morning happiness grandmercurejktkemayoran,happy,0.72
30129,love the optimism BLUE MOON,happy,0.72
30130,ContentwiththeLordsPortion O satisfy us early with thy mercy that we may rejoice amp be glad all our days Ps 90 14 gladness joy delight,happy,0.72
30131,just sitting close to him for an extended period of time was exhilarating because he s so beautiful and lively lol,happy,0.72
30132,TheNiceBot WSJNordics You make the world a more joyful place TheNiceBot,happy,0.708
30133,thanks for distracting me from my paper to watch this hilarious video,happy,0.708
30134,wonderful experience watching you yesterday at thankyou for the,happy,0.708
30135,this makes me giggle with glee,happy,0.708
30136,Live simply Dream big Be grateful Give love Laugh lots Unknown quote inspiration happy,happy,0.708
30137,Be happy Be bright Be YOU identity TimelessTips friendship family forest water family TrueLove God RoadSoFar you LifeTrip,happy,0.708
30138,When you wake up from a dream laughing at something stupid and that makes you laugh more,happy,0.708
30139,I love parody accounts Well done Vote for Trump lol,happy,0.708
30140,Zephaniah 3 17 He surely is rejoicing over us with singing such romance and so needed today,happy,0.708
30141,happy bday bro,happy,0.708
30142,Z happy birthday have a blessed day love from Toronto bday smile,happy,0.7040000000000001
30143,Mate the thing I get excited about in my profession are mad A client said she opened her bowels I m rejoicing,happy,0.7040000000000001
30144,Riggs dumb ass hell lolol hilarious LethalWeapon,happy,0.7
30145,Be positive cheerful grateful and expectant Success Leadership,happy,0.7
30146,We are elated to have Sid Espinosa and ready to inspire innovative students,happy,0.7
30147,IronMaiden fr1ends It s hilarious,happy,0.6940000000000001
30148,It s not that the man did not know how to juggle he just didn t have the balls to do it n funny pun punny lol,happy,0.688
30149,ukedchat A4 Just go outside or to the gym hall and play n education learning,happy,0.688
30150,And by the way Takeru s eyes sparkling while eating was like the cutest thing ever,happy,0.688
30151,ContentwiththeLordsPortion O satisfy us early with thy mercy that we may rejoice amp be glad all our days Ps 90 14 gladness joy,happy,0.688
30152,it makes complete sense and i m elated to hear this,happy,0.688
30153,yeah playing well,happy,0.688
30154,Shutti lmaoo It will be a joyful day,happy,0.688
30155,Thank you for teaching me how to live again It s been so long since amp this ride is about to be exhilarating I just know it,happy,0.68
30156,Day 3 of harvest16 listening to the sound of the chopper working it s way closer to home at makes me happy farm365,happy,0.68
30157,spl nGA Have a joyful day,happy,0.68
30158,Yo this 3 v 3 overtime in hockey got me sweaty damn this ish exhilarating,happy,0.68
30159,What an exhilarating last minute of overtime WCH2016,happy,0.68
30160,Day 9 and I am elated because I m taking PTO tomorrow so I m doneeeee But,happy,0.68
30161,Ooh hygge candles jasmine tea amp GBBO,happy,0.68
30162,When U ride on a pile of salt life is extra sweet Always salty always savory surfing aloha smiling,happy,0.68
30163,It s a beautiful day today Cloudy but sunny and breezy,happy,0.6729999999999999
30164,Guitar shop owners everywhere rejoice,happy,0.667
30165,A joyous first webiversary web mitzvah to Smithsonian s mansky,happy,0.667
30166,May I send you a copy of HeroTheGreyhound Either e book or real paper one A boy and a greyhound smiles tears laughter,happy,0.667
30167,Look forward to the detours because they bring delightful surprises lifequote,happy,0.667
30168,looking back on recent tweets seen this one right here is great perfect Speechless deal,happy,0.667
30169,Getting cable hooked up in new place just in time for and premiers is like God smiling down on me OneChicago,happy,0.667
30170,This is hilarious Not a Freudian slip eh,happy,0.667
30171,Watch this amazing live ly broadcast by musically,happy,0.667
30172,My siblings look all gangster amp I look all cheery,happy,0.667
30173,uff Look at your Arsenal fans cheering for every goal against United haha,happy,0.667
30174,Sylvia was elated to receive kisses from the little prince her bright smile clear as she glanced to Garrett and Elyse,happy,0.667
30175,There is something v satisfying about opening an old to do doc file and being able to check off all the things you have done smiling,happy,0.667
30176,If you have the ability to make someone happy or to make someone smile do it The world needs more of that right about now CreateLove,happy,0.66
30177,I m fine on the near future I just want to go to bed super elated and put together audio compilations of great moments,happy,0.66
30178,Time to go hit up the library I have a lovely PILE of book reservations to collect this morning glee books reading,happy,0.66
30179,if you ain t watching Sugarboy on Hulu then you ain t shit hilarious hahaha,happy,0.66
30180,I cried with laughter,happy,0.66
30181,I m due for a big change I ve prayed on it I think I deserve it positivity optimism,happy,0.66
30182,Totes had to re listen to the endless hilarity that was Tom Odell s raaar this morning,happy,0.66
30183,It s finally raining in Ashland Oregon We ve been parched all summer amp fall The plants amp people are rejoicing,happy,0.66
30184,tfw you re en route to your future i m coming for ya openhouse futurecantor exhilarating NYCletsgo,happy,0.657
30185,you got this staystrong smile yourebeautiful,happy,0.6559999999999999
30186,It s Thursday which means it s Grey s day TGIT,happy,0.6559999999999999
30187,Watch this amazing live ly broadcast by bridges musically,happy,0.655
30188,The current run of superman continues to be a delight You can feel the love poured into it by everone on the creative team superman,happy,0.654
30189,I am always ready to smile,happy,0.654
30190,Riding at night has got to be one of the most exhilarating refreshing things I have ever done,happy,0.654
30191,Lmboo using my nephew for meme hilarious,happy,0.654
30192,Blew up the Internet with his chirp Lol Love it,happy,0.6459999999999999
30193,Thinking about trying some comedy on youtube Always been fond of it Time to nut up laughter comedy maybeoneday hopefullyfunny LOL,happy,0.6459999999999999
30194,I like talking to someone who makes me laugh laughter is the best medicine,happy,0.6459999999999999
30195,Lmboo using my nephew for meme,happy,0.6459999999999999
30196,Loved independence msg on be happy amp fulfilled within yourself amp positivity will flock to you happy independent,happy,0.6459999999999999
30197,Watch this amazing live ly broadcast by mae lively musically,happy,0.6459999999999999
30198,personaldevelopment n nToday is a gift that s why it s called the present happiness optimism entrepreneur personaldevelopment,happy,0.6459999999999999
30199,Bunk ur class at least once in your life time cuz later when u look back good marks will not make u happy but memories will APJ,happy,0.6459999999999999
30200,I wish I really truly wish that I had just a modicum of your banter hilarious,happy,0.6459999999999999
30201,Am I watching BacheloretteAU or Zoolander hilarious samvrhys,happy,0.6459999999999999
30202,Yup And Val basically ignoring the recipe I m just done I keep bursting into laughter x,happy,0.6459999999999999
30203,Be happy not because everything is good but because you can see the good side of everything optimism,happy,0.6459999999999999
30204,the fact everyone is selling their kanye tickets or are buying them for less than 50 is unbelievably hilarious to me,happy,0.6459999999999999
30205,Sweet,happy,0.6459999999999999
30206,He showed us a really lively performance with a lot of different emotions not just sticking to one And that s freaking awesome,happy,0.6459999999999999
30207,Offerman I ll be there Can t wait for all the mirth,happy,0.6459999999999999
30208,Icon is pochama nHe is very cute and easily elated,happy,0.64
30209,my adorable and cheerful daughter nAlways pouring positivity green goo on me ndare hurt her and you ll see hell growls n n PandaBot,happy,0.64
30210,Remember The life you have is a blessing for God Make it a joyful experience regardless of the odds GBY,happy,0.64
30211,brings back great memories of hilarity on SATURDAYNIGHTLIVE,happy,0.64
30212,The neighbor dancing in the Clayton Homes commercial is me hilarious,happy,0.64
30213,All in all a pleasing night down The Lane On to the next round amp bring on Liverpool at Anfield COYS,happy,0.625
30214,Be sure and switch it over to cable news cheery,happy,0.625
30215,If you simply act out of kindness strength and optimism today will be the best day ever KINE,happy,0.625
30216,you re welcome It s genuinely made me give my head a wobble and realise what s important in life smiling,happy,0.625
30217,yeah playing well optimism,happy,0.625
30218,Why have I only just started watching glee this week I am now addicted glee GLEEK,happy,0.625
30219,watching the jubilant scrum at the end of the day and remembering they re all still kids priceless,happy,0.625
30220,chirp chirp what a beautiful white and red bird,happy,0.625
30221,15 minutes of yoga to your breakfast routine will change your day preparation sunriseyoga bodyawareness health yoga smile stretch,happy,0.625
30222,cheer cheer the red and white we are now off to grand final to win the fight Thanks,happy,0.625
30223,It s not that the man did not know how to juggle he just didn t have the balls to do it n funny pun lol punny,happy,0.625
30224,Watch this amazing live ly broadcast by lively musically,happy,0.625
30225,she let out a playful gasp and slowly wrapped her arms around his neck kissing him back,happy,0.62
30226,The T I Shawty Lo beef is one of the more underrated ones in hip hop history Chock full of wit bravado and hilarity,happy,0.62
30227,Just popped a half bottle of 2014 sparkling gamaynoir from Westbank Evenin folks n bcwinechat,happy,0.62
30228,Omg I m outside making beats with garageband and some little birds decided to chirp along,happy,0.62
30229,Go follow me on Musically I am making a lively Come and join BFFing and Following See you there,happy,0.62
30230,I like your optimism,happy,0.62
30231,Ryan Gosling and Eva Mendes finally B joyful an funny dont boss dont argue do everything with kids go on mini car trips focus on love,happy,0.62
30232,God just replaced my sadness with laughter can t go the whole day sad,happy,0.615
30233,A hearty welcome to those who followed me,happy,0.615
30234,In ever use to like smiling until I realized how good my teeth look Witout the braces,happy,0.613
30235,Another happy customer secreteyes,happy,0.611
30236,I just heard the most incredibly transcendent song ever amp now I feel high amp fucked up yet joyful amp I will never be the same,happy,0.607
30237,Elinor she laughed so little known all over every body at the brilliant cheerfulness of sweetmeats and a fashion,happy,0.604
30238,Only Geo is capable of cheering me up,happy,0.604
30239,AWW I had a Maine Coon when I was little named Ted Eddy the Wonder Cat They re such good cats Very playful and sweet,happy,0.604
30240,Make someone happy,happy,0.604
30241,What if the Metro LRT went over the Walterdale yeg,happy,0.604
30242,Go follow beautiful Snowgang Princess fitness bodyposi haircut smile Whitegirlwednesday,happy,0.604
30243,felt a bit shit getting a very high blood sugar then i remembered it s my first one above 15 this week which is incredible for me happy,happy,0.604
30244,of Akkad this is too much hilarity for one day,happy,0.604
30245,Being a veteran just totally got me out of a ticket I m elated right now close call,happy,0.604
30246,violently screams at the four winds WE AINT EVER GETTING OLDER cute jovial rhythm starts moves hips along and waves arms in the air,happy,0.604
30247,It s not that the man did not know how to juggle he just didn t have the balls to do it n funny pun punny lol,happy,0.604
30248,There is something v satisfying about opening an old to do doc file and being able to check off all the things you have done,happy,0.602
30249,Rojo is so bad it s hilarious,happy,0.6
30250,I m due for a big change I ve prayed on it I think I deserve it positivity,happy,0.6
30251,Watch this amazing live ly broadcast by sartorious lively musically,happy,0.6
30252,Styles I hope you never go a day without something to make you smile You deserve all good things Please follow me n n311 553,happy,0.6
30253,stfukohle it s ok champ you ll make it I m cheering you on from a far,happy,0.6
30254,Rojo is hilarious,happy,0.6
30255,I m so playful lol I need somebody that ll joke with me all day long cause ill never get tired of it,happy,0.6
30256,Miss Cookie sends her thanks She s not as spry as she used to be like me She doesn t have the adventures the young pups do,happy,0.6
30257,It s better to be wetter than it is dry certainly found that hilarious GBBO,happy,0.6
30258,It s not that the man did not know how to juggle he just didn t have the balls to do it n funny pun punny lol,happy,0.596
30259,Ooh hygge candles jasmine tea amp GBBO happy,happy,0.593
30260,aaa Cam animated that so proud of our boy,happy,0.583
30261,but it s so aesthetically pleasing omg,happy,0.583
30262,Followback Quote Soup Be happy not because everything is good but because you can see the good side of everything,happy,0.583
30263,Peter is aesthetically pleasing to look at,happy,0.583
30264,Loved independence msg on be happy amp fulfilled within yourself amp positivity will flock to you independent,happy,0.583
30265,I thought I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious,happy,0.583
30266,it s exhilarating,happy,0.583
30267,So happy my next class is canceled bc im od tired,happy,0.583
30268,Optimism leads to success Bill Kerr Kerr success goals,happy,0.583
30269,It s meant to be,happy,0.583
30270,smile is the respect we give everyone,happy,0.583
30271,Not untill today has anyone ever said to me they remember what I had on over 7 years ago when they met me n liked me since cutealert happy,happy,0.58
30272,The object of literature is to make man a wiser and happier being The poet makes us happy because he tells us how we may become so,happy,0.58
30273,Watching Avatar and wondering why I took so long to watch this collapses in a joyous heap,happy,0.58
30274,At the risk of being blocked I thought that video from the wake was hilarious,happy,0.58
30275,I want the smoky clouds of laughter to swim about you forever more,happy,0.58
30276,I m a cheery ghost,happy,0.58
30277,Watch this amazing live ly broadcast by awsome 11 lively musically,happy,0.58
30278,Watch this amazing live ly broadcast by lively musically,happy,0.58
30279,Watch this amazing live ly broadcast by musically,happy,0.578
30280,I know they have you a scripted ego maniac but I was so elated to hear that you are a devout Christian like myself Phenomanal,happy,0.5770000000000001
30281,I really wish I could attend the show at RCMH I m there in spirit cheering you and the dudes on,happy,0.5770000000000001
30282,try asking for a cheeseburger with only onion amp mustard at any McDonalds hilarious,happy,0.5670000000000001
30283,Accept the challenges so that you can feel the exhilaration of victory FocusX10 motivation motivationalquotes quoteoftheday,happy,0.562
30284,Watch this amazing live ly broadcast by musically,happy,0.562
30285,You know what s great about GBBO Contestants helping each other cheering each other on So important,happy,0.562
30286,Accept the challenges so that you can feel the exhilaration of victory,happy,0.562
30287,hello Miss Lady I m sure today brings you happiness and laughter use your voice also to make us laugh god knows we need it,happy,0.562
30288,Thank you for the balloons today goodday 48,happy,0.562
30289,Wagging his tail at the praise he paused tilting his head as she took the frisbee from him letting out a playful,happy,0.562
30290,Kayaking is merriment together with sevylor inflatable kayaks eYGgJxMl,happy,0.562
30291,Knowing how to cook is invaluable what s even better is that even in a 400 sq ft place I have wide and hearty homestyle egg noodles,happy,0.562
30292,Watch this amazing live ly broadcast by musically,happy,0.562
30293,Do what makes you successful and happy now and forever,happy,0.562
30294,I love Mary s undying optimism You could present her with dog shite and she d find something good to say GBBO,happy,0.562
30295,Use your smile to change the world Don t let the world change your smile quote actorslife smile love hardworkpaysoff fun,happy,0.562
30296,smile every morning to a positive head start with your clients relations,happy,0.562
30297,listen I dn t subscribe to this team coq Team xhaka stuff I like all our players Depth has me elated,happy,0.562
30298,Watch this amazing live ly broadcast by mccloud lively musically,happy,0.562
30299,And the weather so breezy man why can t life always be this easy,happy,0.562
30300,Of cheerfulness or a good temper the more it is spent the more of it remains,happy,0.56
30301,Watch this amazing live ly broadcast by lively musically,happy,0.56
30302,Watch this amazing live ly broadcast by lively musically,happy,0.56
30303,Rec d call 2day from Haitian church we started in Florida some 15yrs ago Preparing to acquire their own bldg Wanted me to know rejoicing,happy,0.56
30304,There s a specific joyous 20 song title engiybhekayo yasezayoni Need it for le mood,happy,0.56
30305,promise of restoration to the nation of israel everywhere you look blessing barns wine overflow Everything beautiful do u see,happy,0.56
30306,Look forward to the detours because they bring delightful surprises lifequote delight,happy,0.56
30307,Watch this amazing live ly broadcast by lively musically,happy,0.56
30308,talk about a mood pickup i went from depressed to elated so fast,happy,0.56
30309,Finn singing Can t Fight This Feeling in the shower and Will spying on him is one of the best scenes on any show,happy,0.56
30310,I m cheering for WCH and WCH NHLNYCSweepstakes,happy,0.56
30311,Watch this amazing live ly broadcast by lively musically,happy,0.56
30312,Sweet optimism,happy,0.56
30313,Finn singing Can t Fight This Feeling in the shower and Will spying on him is one of the best scenes on any show glee,happy,0.56
30314,tfw you re en route to your future i m coming for ya openhouse futurecantor NYCletsgo,happy,0.56
30315,It s Thursday which means it s Grey s day TGIT rejoice,happy,0.56
30316,Watch this amazing live ly broadcast by blender musically,happy,0.5579999999999999
30317,ALDUBQC Glad you gained some cheery vibes just by looking at our Happy Meal,happy,0.5579999999999999
30318,I found marmite in Australia,happy,0.5579999999999999
30319,Watch this amazing live ly broadcast by musically,happy,0.5579999999999999
30320,aside from that i m all about pleasing the individual that i m involved with my pleasure comes from their pleasure,happy,0.5579999999999999
30321,mustache harbor TiburonChamber plus a hearty pour of yachtrock by mustacheharbor,happy,0.55
30322,scurr any team in the world would be totally elated to get to have you on it XD,happy,0.547
30323,Tonight my top delight was a Skein of Geese flying about 1 foot above me as I swam in Windermere Breeze dropped amp it became like glass,happy,0.544
30324,to reveal a broad smile n n Yeah it s nice n nPursing his lips he stifled his joyous expression in order n n,happy,0.542
30325,the Lord turn his face toward you and give you peace Numbers 6 26 truth trust promise calm justice great mighty protected delight,happy,0.542
30326,Watch this amazing live ly broadcast by finfin lively musically,happy,0.542
30327,Watch this amazing live ly broadcast by musically,happy,0.542
30328,what a happy looking couple,happy,0.542
30329,Punchline king is back bright city lights,happy,0.542
30330,lynch my kinda girl pleasing the dick right,happy,0.542
30331,Catering channel s at the height technics hearty enjoyment symptomatize vrlfEyrN,happy,0.542
30332,Watch this amazing live ly broadcast by lively musically,happy,0.542
30333,her fingers slide along your thighs caressing the skin before she s leaning down down down and the first lick is teasing n playful,happy,0.54
30334,I was just introducing a little levity to the convo Yep,happy,0.54
30335,Oh please INC talking about looting I m not saying BJP is pure but this is such a hilarious irony is def better,happy,0.54
30336,For a moment I found myself smiling,happy,0.54
30337,drunken patroons make this whole situation much more jovial though,happy,0.54
30338,Watch this amazing live ly broadcast by lively musically,happy,0.5379999999999999
30339,Her cheerful voice echoed through the grand familiar home a smile blossoming on my rosy brims Mom I reciprocated the,happy,0.537
30340,Just watched Django Unchained Other people may frown but I titter in delight 2 5,happy,0.536
30341,My future must be bright af,happy,0.536
30342,She gave a playful wink taking the goggles off her head swinging them around her finger I would never,happy,0.534
30343,Watch this amazing live ly broadcast by awsome 11 musically,happy,0.5329999999999999
30344,Live simply Dream big Be grateful Give love Laugh lots Unknown quote inspiration,happy,0.522
30345,On the bright side my music theory teacher just pocket dabbed and said I know what s hip And walked away,happy,0.521
30346,Watch this amazing live ly broadcast by musically,happy,0.521
30347,Trust me dear if you want to make anything invisible hang a wet paint on it and hilarity will ensue,happy,0.521
30348,Watch this amazing live ly broadcast by fan musically,happy,0.521
30349,Vacation wise Egypt offers great places amazing scenery bright skies and good weather at a very good and affordable price for students,happy,0.521
30350,Gotta hit up breezy every day to make sure he s breaking in my boots First class friend right there,happy,0.521
30351,Watch this amazing live ly broadcast by sartorious musically,happy,0.521
